Initial State,Heuristic,Expanded Nodes,Max Fringe Size,Depth,Execution Time
1 3 4 0 5 2 6 8 9 10 7 12 13 14 11 15,euclideanDistance,7,11,7,0.0
1 3 4 0 5 2 6 8 9 10 7 12 13 14 11 15,manhattanDistance,7,11,7,0.0
1 3 4 0 5 2 6 8 9 10 7 12 13 14 11 15,outOfRowAndColumn,7,11,7,0.0
1 2 3 4 5 6 7 8 9 10 11 0 13 14 15 12,misplacedTiles,1,3,1,0.0
1 2 3 4 5 6 7 8 9 10 11 0 13 14 15 12,euclideanDistance,1,3,1,0.0
1 2 3 4 5 6 7 8 9 10 11 0 13 14 15 12,manhattanDistance,1,3,1,0.0
1 2 3 4 5 6 7 8 9 10 11 0 13 14 15 12,outOfRowAndColumn,1,3,1,0.0
1 7 2 4 0 6 3 8 5 9 15 11 13 10 14 12,misplacedTiles,67,82,13,0.0
1 7 2 4 0 6 3 8 5 9 15 11 13 10 14 12,euclideanDistance,36,44,13,0.0
1 7 2 4 0 6 3 8 5 9 15 11 13 10 14 12,manhattanDistance,36,44,13,0.0
1 7 2 4 0 6 3 8 5 9 15 11 13 10 14 12,outOfRowAndColumn,36,44,13,0.0
2 6 3 4 5 1 7 8 9 14 10 12 13 11 0 15,misplacedTiles,131,143,13,0.015624523162841797
2 6 3 4 5 1 7 8 9 14 10 12 13 11 0 15,euclideanDistance,58,64,13,0.0
2 6 3 4 5 1 7 8 9 14 10 12 13 11 0 15,manhattanDistance,53,60,13,0.0
2 6 3 4 5 1 7 8 9 14 10 12 13 11 0 15,outOfRowAndColumn,53,60,13,0.0
1 3 7 4 5 6 2 8 14 0 10 12 9 13 11 15,misplacedTiles,99,112,13,0.0
1 3 7 4 5 6 2 8 14 0 10 12 9 13 11 15,euclideanDistance,51,59,13,0.001997709274291992
1 3 7 4 5 6 2 8 14 0 10 12 9 13 11 15,manhattanDistance,48,59,13,0.0
1 3 7 4 5 6 2 8 14 0 10 12 9 13 11 15,outOfRowAndColumn,48,59,13,0.0
1 2 3 4 5 6 0 7 9 10 11 12 13 14 8 15,misplacedTiles,55,65,9,0.0
1 2 3 4 5 6 0 7 9 10 11 12 13 14 8 15,euclideanDistance,28,33,9,0.0
1 2 3 4 5 6 0 7 9 10 11 12 13 14 8 15,manhattanDistance,28,33,9,0.0
1 2 3 4 5 6 0 7 9 10 11 12 13 14 8 15,outOfRowAndColumn,28,33,9,0.0
1 2 3 4 5 6 11 7 13 0 9 8 10 14 15 12,misplacedTiles,155,177,13,0.0
1 2 3 4 5 6 11 7 13 0 9 8 10 14 15 12,euclideanDistance,70,82,13,0.0
1 2 3 4 5 6 11 7 13 0 9 8 10 14 15 12,manhattanDistance,69,80,13,0.0
1 2 3 4 5 6 11 7 13 0 9 8 10 14 15 12,outOfRowAndColumn,73,83,13,0.015625953674316406
